nombre,url
Hoteles en Guayaquil,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=9%3A238%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Cuenca,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=1%3A322%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Quito,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=17%3A31%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Santa Cruz,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=20%3A1277%3A-1%3B%2C+&b=hoteles&c=
Hoteles en San Cristóbal,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=20%3A1351%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Isabela,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=20%3A1279%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Santa Elena,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=24%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Esmeraldas,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=8%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Guayas,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=9%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Manabí,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=13%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Los Ríos,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=12%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en El Oro,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=7%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Santo Domingo,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=23%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Imbabura,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=10%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Carchi,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=4%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Pichincha,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=17%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Bolívar,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=2%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Tungurahua,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=18%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Cotopaxi,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=5%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Chimborazo,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=6%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Cañar,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=3%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Azuay,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=1%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Loja,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=11%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Orellana,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=22%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Napo,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=15%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Pastaza,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=16%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Morona Santiago,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=14%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Zamora Chinchipe,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=19%3A0%3A-1%3B%2C+&b=hoteles&c=
Hoteles en Sucumbíos,guia_telefonica.aspx?txtBuscarPlus=&txtDondePlus=21%3A0%3A-1%3B%2C+&b=hoteles&c=
